Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Matthew NeSmith (17818688),Matthew NeSmith,17818688,G,7300,Charles Schwab Challenge,Golf,60.32
G,Carlos Ortiz (17818689),Carlos Ortiz,17818689,G,7300,Charles Schwab Challenge,Golf,68.05
G,Lucas Glover (17818690),Lucas Glover,17818690,G,7300,Charles Schwab Challenge,Golf,56.95
G,Talor Gooch (17818691),Talor Gooch,17818691,G,7300,Charles Schwab Challenge,Golf,61.08
G,Doug Ghim (17818692),Doug Ghim,17818692,G,7200,Charles Schwab Challenge,Golf,62.40
G,Kevin Kisner (17818693),Kevin Kisner,17818693,G,7200,Charles Schwab Challenge,Golf,53.43
G,C.T. Pan (17818694),C.T. Pan,17818694,G,7200,Charles Schwab Challenge,Golf,52
G,Doc Redman (17818695),Doc Redman,17818695,G,7200,Charles Schwab Challenge,Golf,51.59
G,Harry Higgs (17818696),Harry Higgs,17818696,G,7200,Charles Schwab Challenge,Golf,54.89
G,Kyle Stanley (17818697),Kyle Stanley,17818697,G,7100,Charles Schwab Challenge,Golf,55
G,Jhonattan Vegas (17818698),Jhonattan Vegas,17818698,G,7100,Charles Schwab Challenge,Golf,59.86
G,Rory Sabbatini (17818699),Rory Sabbatini,17818699,G,7100,Charles Schwab Challenge,Golf,54.63
G,Pat Perez (17818700),Pat Perez,17818700,G,7100,Charles Schwab Challenge,Golf,51.72
G,Brendon Todd (17818701),Brendon Todd,17818701,G,7100,Charles Schwab Challenge,Golf,63.09
G,Sepp Straka (17818702),Sepp Straka,17818702,G,7000,Charles Schwab Challenge,Golf,64.79
G,Troy Merritt (17818703),Troy Merritt,17818703,G,7000,Charles Schwab Challenge,Golf,49.96
G,Dylan Frittelli (17818704),Dylan Frittelli,17818704,G,7000,Charles Schwab Challenge,Golf,46.53
G,Adam Hadwin (17818705),Adam Hadwin,17818705,G,7000,Charles Schwab Challenge,Golf,52.87
G,Sebastian Munoz (17818706),Sebastian Munoz,17818706,G,7000,Charles Schwab Challenge,Golf,59.19
G,Zach Johnson (17818707),Zach Johnson,17818707,G,6900,Charles Schwab Challenge,Golf,58.81
G,Luke List (17818708),Luke List,17818708,G,6900,Charles Schwab Challenge,Golf,55.5
G,Maverick McNealy (17818709),Maverick McNealy,17818709,G,6900,Charles Schwab Challenge,Golf,54.68
